URL,Product Name,Brand,Rating,Review,Review Date,Energy Star,Capacity
https://www.amazon.in/Carrier-24K-Durafresh-Invertor-Star/dp/B079HZ2LP5/ref=sr_1_230?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-230,Carrier 24K Durafresh Invertor Ac - 3 Star,Carrier,1,"I buyed the from the local shop but it is not the worth of money. Very very dissatisfied with the product and service of carrier.
Worst cooling and within 15 days if purchase it was stopped working. Buyed it by 24th may 2018, till now it is dead. Totally waste of money.

I would like to give 0 star but no option is here.",18 June 2018,3,2 Tons
https://www.amazon.in/Carrier-24K-Durafresh-Invertor-Star/dp/B079HZ2LP5/ref=sr_1_230?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-230,Carrier 24K Durafresh Invertor Ac - 3 Star,Carrier,1,Worst performance and worst installation .,30 June 2019,3,2 Tons
https://www.amazon.in/Carrier-Inverter-Split-Copper-Durafresh/dp/B08B3YGZ8B/ref=sr_1_231?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-231,Carrier 1.5 Ton 3 Star Inverter Split AC (Copper 18K Durafresh Nxi Inverter White),Carrier,,,,3,1.5 Tons
https://www.amazon.in/Haier-Window-Copper-Antibacterial-HWU18TF-EW3BE-FS/dp/B0BZJ84BQ1/ref=sr_1_232?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-232,"Haier 1.5 Ton 3 Star Fix Speed Top Flow Window AC (Copper, Jet Air Flow, Anti Bacterial Filter, Cools at 54°C Temp, Dynamic Cooling - HWU18TF-EW3BE-FS, 2024 Model)",Haier,1,Don't waste your money on this ac .iam facing problem in just 10 days.it is not coling only fan working.,2 July 2024,3,1.5 Tons
https://www.amazon.in/Haier-Window-Copper-Antibacterial-HWU18TF-EW3BE-FS/dp/B0BZJ84BQ1/ref=sr_1_232?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-232,"Haier 1.5 Ton 3 Star Fix Speed Top Flow Window AC (Copper, Jet Air Flow, Anti Bacterial Filter, Cools at 54°C Temp, Dynamic Cooling - HWU18TF-EW3BE-FS, 2024 Model)",Haier,1,I don't like this ac waste of money problems with from 1st day useless products don't buy this please 😭,23 July 2023,3,1.5 Tons
https://www.amazon.in/Haier-Window-Copper-Antibacterial-HWU18TF-EW3BE-FS/dp/B0BZJ84BQ1/ref=sr_1_232?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-232,"Haier 1.5 Ton 3 Star Fix Speed Top Flow Window AC (Copper, Jet Air Flow, Anti Bacterial Filter, Cools at 54°C Temp, Dynamic Cooling - HWU18TF-EW3BE-FS, 2024 Model)",Haier,3,"Anyone have spare money and wanted to waste it on useless purchase, this is the best choice, go for it.",14 April 2023,3,1.5 Tons
https://www.amazon.in/Haier-Window-Copper-Antibacterial-HWU18TF-EW3BE-FS/dp/B0BZJ84BQ1/ref=sr_1_232?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-232,"Haier 1.5 Ton 3 Star Fix Speed Top Flow Window AC (Copper, Jet Air Flow, Anti Bacterial Filter, Cools at 54°C Temp, Dynamic Cooling - HWU18TF-EW3BE-FS, 2024 Model)",Haier,1,I just want to warn people !!! Dont buy this model just DON’T buy. Its a nightmare in terms of cooling and sound,17 May 2023,3,1.5 Tons
https://www.amazon.in/Carrier-Emperia-Nxi-Star-Inverter/dp/B08DRKNZ14/ref=sr_1_233?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-233,Carrier Emperia Nxi 1 Ton 3 Star Inverter AC with PM 2.5 Filter,Carrier,1,"Don't buy carrier ac, worst product, 17000 rs spent on it in two years, really worst AC, heavy cost for its maintenance",27 November 2023,,1 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,5,"Product delivered as promised.
Installation was done perfectly by experienced and knowledgeable staff.
So far, unit also performed perfectly. Key points:
1. Cooling is fast.
2. Noise levels are good.
3. No leakage or fault in unit.",3 February 2020,3,1.5 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,5,"Product and delivery is fine and was on time. Only the charges payable for installation should be made very clear. The amount charged for at Rs. 2750/- seems exorbitant. Otherwuse no issues
.",4 November 2019,3,1.5 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,4,Good,26 October 2019,3,1.5 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,3,Very bad installation experience. The guy was rude and unprofessional. Left without finishing. Had to call And pay someone separately to do the installation.,17 February 2020,3,1.5 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,5,"I got this AC in 32000 at no cost EMI. Pay 499 for installation
Outdoor unit stand 750",20 October 2019,3,1.5 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,1,not useful electricity consumption wrong declared @1058 w per annul and actual electricity consumption unit 20 per day @ 600 per month,21 August 2020,3,1.5 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,5,"Thanku ,Carrier to make a best product",30 July 2019,3,1.5 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,3,"Cooling is very low ,not 2 bye",5 March 2020,3,1.5 Tons
https://www.amazon.in/Carrier-Inverter-Copper-Durafresh-CAI18DN3R39F0/dp/B07P81JG5N/ref=sr_1_234?crid=UYPCO7JBHGEO&keywords=air+conditioner&qid=1703481753&refinements=p_89%3ABlue+Star%7CCarrier%7CHaier%7CHitachi%7CLG%7CLloyd%7CPanasonic%7CSamsung%7CVoltas%2Cp_n_feature_thirteen_browse-bin%3A2753048031&rnid=2753046031&s=kitchen&sprefix=AIR+C%2Ckitchen%2C188&sr=1-234,"Carrier 1.5 Ton 3 Star Inverter Split AC (Durafresh Neo X, CAI18DN3R39F0, White)",Carrier,5,Superb,23 January 2020,3,1.5 Tons
